ETER ID,Institution Name,Reference year,Legal status,Institution Category standardized,Total staff (FTE),Total academic staff (FTE),Total students enrolled ISCED 5-7,Flag Academic Staff FTE,Total academic staff (HC),Flag Academic Staff HC,Country code
DE0374,Adam-Ries-Fachhochschule,2012,private,uas,26.0,16.0,442.0,0,25.0,0,DE
DE0376,SRH Fachhochschule für Gesundheit Gera (Priv. FH),2012,private,uas,27.0,19.0,486.0,0,,0,DE
DE0377,Hochschule für öffentliche Verwaltung Kehl,2012,public,other,102.0,77.0,991.0,0,47.0,1,DE
DE0378,Hochschule Ludwigsburg für öffentliche Verwaltung und Finanzen,2012,public,other,121.0,83.0,1902.0,0,408.0,0,DE
DE0379,Fachhochschule für Rechtspflege Schwetzingen,2012,public,other,29.0,21.0,436.0,0,32.0,0,DE
DE0380,Hochschule der Polizei Baden-Württemberg,2012,public,other,112.0,56.0,1251.0,0,45.0,0,DE
DE0382,Fachhochschule für öffentliche Verwaltung und Rechtspflege in Bayern,2012,public,other,373.0,211.0,3824.0,0,9.0,0,DE
DE0385,FH der Polizei Brandenburg (VerwFH) in Oranienburg,2012,public,other,340.0,35.0,268.0,0,51.0,0,DE
DE0386,Fachhochschule für Finanzen Brandenburg in Königs Wusterhausen,2012,public,other,23.0,11.0,580.0,0,93.0,0,DE
DE0387,Hochschule für öffentliche Verwaltung Bremen,2012,public,other,42.0,35.0,375.0,0,118.0,0,DE
DE0388,"Hochschule der Polizei, Hamburg (Verw-FH)",2012,public,other,29.0,16.0,243.0,0,347.0,0,DE
DE0389,Norddeutsche Akademie für Finanzen und Steuerrecht Hamburg,2012,public,other,17.0,,359.0,0,32.0,0,DE
DE0391,Hessische Hochschule für Finanzen und Rechtspflege,2012,public,other,73.0,45.0,879.0,0,119.0,0,DE
DE0392,Hessische Hochschule für Polizei und Verwaltung,2012,public,other,213.0,154.0,2692.0,0,130.0,1,DE
DE0394,Verwaltungs-Fachhochschule Güstrow,2012,public,other,165.0,32.0,466.0,0,72.0,0,DE
DE0395,"Norddeutsche Hochschule für Rechtspflege, Hildesheim",2012,public,other,31.0,22.0,267.0,0,157.0,0,DE
DE0396,Kommunale Hochschule für Verwaltung in Niedersachsen,2012,private,other,16.0,9.0,806.0,0,38.0,0,DE
DE0397,"Fachhochschule für Rechtspflege NW, Bad Münstereifel",2012,public,other,69.0,48.0,685.0,0,19.0,0,DE
DE0398,"Fachhochschule für Finanzen NW, Nordkirchen",2012,public,other,189.0,87.0,1464.0,0,175.0,0,DE
DE0399,Fachhochschule für öffentliche Verwaltung Nordrhein-Westfalen,2012,public,other,209.0,117.0,6881.0,0,59.0,0,DE
DE0400,Hochschule des Bundes für öffentliche Verwaltung,2012,public,other,617.0,262.0,2997.0,0,87.0,0,DE
DE0401,Fachhochschule für Finanzen Edenkoben,2012,public,other,45.0,32.0,474.0,0,58.0,0,DE
DE0402,Hochschule der Deutschen Bundesbank Hachenburg,2012,public,other,60.0,37.0,317.0,0,448.0,0,DE
DE0403,Fachhochschule für öffentliche Verwaltung Mayen,2012,public,other,220.0,96.0,1692.0,0,13.0,0,DE
DE0404,Fachhochschule für Verwaltung Saarbrücken,2012,public,other,61.0,25.0,458.0,1,0.0,1,DE
DE0405,Fachhochschule der Sächsischen Verwaltung Meißen,2012,public,other,99.0,64.0,648.0,0,131.0,0,DE
DE0406,"Hochschule der Sächsischen Polizei, Rothenburg/OL. (FH)",2012,public,other,55.0,28.0,374.0,0,312.0,0,DE
DE0407,"Fachhochschule Polizei Sachsen-Anhalt, Aschersleben",2012,public,other,116.0,19.0,316.0,0,86.0,0,DE
DE0408,Fachhochschule für Verwaltung und Dienstleistung Altenholz,2012,public,other,93.0,62.0,807.0,0,30.0,0,DE
DE0410,Thüringer Fachhochschule für öffentliche Verwaltung Gotha,2012,public,other,71.0,43.0,396.0,0,140.0,0,DE
